date,product_id,product_name,supplier,category,lead_time_days,opening_stock,units_sold,units_received,wastage,closing_stock,unit_price,revenue
2024-01-02,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,195,20,42,0,217,15,300
2024-01-02,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,60,6,0,0,54,20,120
2024-01-02,P007,Fuel Filter,Blake and Sons,medium,5,64,5,0,0,59,14,70
2024-01-02,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,66,6,0,0,60,85,510
2024-01-02,P009,Alternator Belt,Garcia-James,medium,6,62,10,0,0,52,18,180
2024-01-02,P010,Headlight Bulb,Abbott-Munoz,medium,5,95,4,0,0,91,12,48
2024-01-02,P011,Radiator Cap,Blair PLC,slow,7,34,3,0,0,31,8,24
2024-01-02,P012,Thermostat,Dudley Group,slow,6,35,4,0,0,31,22,88
2024-01-02,P013,PCV Valve,Arnold Ltd,slow,7,21,4,0,0,17,9,36
2024-01-02,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,23,4,0,0,19,65,260
2024-01-02,P015,EGR Valve,Williams and Sons,slow,8,23,1,6,0,28,95,95
2024-01-03,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,191,14,0,0,177,45,630
2024-01-03,P002,Oil Filter,Doyle Ltd,fast,4,185,8,0,0,177,12.5,100
2024-01-03,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,293,14,0,0,279,18,252
2024-01-03,P004,Spark Plug Set,Davis and Sons,fast,5,258,17,0,0,241,22,374
2024-01-03,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,217,19,42,1,239,15,285
2024-01-03,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,54,6,12,1,59,20,120
2024-01-03,P007,Fuel Filter,Blake and Sons,medium,5,59,5,0,0,54,14,70
2024-01-03,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,60,9,14,0,65,85,765
2024-01-03,P009,Alternator Belt,Garcia-James,medium,6,52,10,0,1,41,18,180
2024-01-03,P010,Headlight Bulb,Abbott-Munoz,medium,5,91,6,35,0,120,12,72
2024-01-03,P011,Radiator Cap,Blair PLC,slow,7,31,3,0,1,27,8,24
2024-01-03,P012,Thermostat,Dudley Group,slow,6,31,3,0,0,28,22,66
2024-01-03,P013,PCV Valve,Arnold Ltd,slow,7,17,2,5,1,19,9,18
2024-01-03,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,19,3,6,0,22,65,195
2024-01-03,P015,EGR Valve,Williams and Sons,slow,8,28,2,0,0,26,95,190
2024-01-04,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,177,20,0,0,157,45,900
2024-01-04,P002,Oil Filter,Doyle Ltd,fast,4,177,16,0,0,161,12.5,200
2024-01-04,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,279,19,56,0,316,18,342
2024-01-04,P004,Spark Plug Set,Davis and Sons,fast,5,241,11,0,0,230,22,242
2024-01-04,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,239,15,42,0,266,15,225
2024-01-04,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,59,5,0,0,54,20,100
2024-01-04,P007,Fuel Filter,Blake and Sons,medium,5,54,7,0,0,47,14,98
2024-01-04,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,65,5,0,0,60,85,425
2024-01-04,P009,Alternator Belt,Garcia-James,medium,6,41,6,0,0,35,18,108
2024-01-04,P010,Headlight Bulb,Abbott-Munoz,medium,5,120,8,35,0,147,12,96
2024-01-04,P011,Radiator Cap,Blair PLC,slow,7,27,4,0,0,23,8,32
2024-01-04,P012,Thermostat,Dudley Group,slow,6,28,3,0,0,25,22,66
2024-01-04,P013,PCV Valve,Arnold Ltd,slow,7,19,3,0,0,16,9,27
2024-01-04,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,22,3,0,0,19,65,195
2024-01-04,P015,EGR Valve,Williams and Sons,slow,8,26,2,0,0,24,95,190
2024-01-05,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,157,9,0,0,148,45,405
2024-01-05,P002,Oil Filter,Doyle Ltd,fast,4,161,13,56,0,204,12.5,162.5
2024-01-05,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,316,18,56,0,354,18,324
2024-01-05,P004,Spark Plug Set,Davis and Sons,fast,5,230,13,0,1,216,22,286
2024-01-05,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,266,15,0,0,251,15,225
2024-01-05,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,54,5,0,0,49,20,100
2024-01-05,P007,Fuel Filter,Blake and Sons,medium,5,47,4,0,0,43,14,56
2024-01-05,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,60,5,0,0,55,85,425
2024-01-05,P009,Alternator Belt,Garcia-James,medium,6,35,7,0,0,28,18,126
2024-01-05,P010,Headlight Bulb,Abbott-Munoz,medium,5,147,4,0,0,143,12,48
2024-01-05,P011,Radiator Cap,Blair PLC,slow,7,23,4,0,0,19,8,32
2024-01-05,P012,Thermostat,Dudley Group,slow,6,25,4,0,0,21,22,88
2024-01-05,P013,PCV Valve,Arnold Ltd,slow,7,16,3,0,0,13,9,27
2024-01-05,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,19,3,0,0,16,65,195
2024-01-05,P015,EGR Valve,Williams and Sons,slow,8,24,2,0,0,22,95,190
2024-01-06,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,148,12,0,0,136,45,540
2024-01-06,P002,Oil Filter,Doyle Ltd,fast,4,204,15,56,0,245,12.5,187.5
2024-01-06,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,354,13,0,0,341,18,234
2024-01-06,P004,Spark Plug Set,Davis and Sons,fast,5,216,13,0,0,203,22,286
2024-01-06,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,251,11,42,0,282,15,165
2024-01-06,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,49,7,0,0,42,20,140
2024-01-06,P007,Fuel Filter,Blake and Sons,medium,5,43,10,0,0,33,14,140
2024-01-06,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,55,4,0,0,51,85,340
2024-01-06,P009,Alternator Belt,Garcia-James,medium,6,28,6,12,1,33,18,108
2024-01-06,P010,Headlight Bulb,Abbott-Munoz,medium,5,143,5,0,0,138,12,60
2024-01-06,P011,Radiator Cap,Blair PLC,slow,7,19,1,17,1,34,8,8
2024-01-06,P012,Thermostat,Dudley Group,slow,6,21,4,0,0,17,22,88
2024-01-06,P013,PCV Valve,Arnold Ltd,slow,7,13,4,0,0,9,9,36
2024-01-06,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,16,3,0,0,13,65,195
2024-01-06,P015,EGR Valve,Williams and Sons,slow,8,22,1,0,1,20,95,95
2024-01-07,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,136,16,70,1,189,45,720
2024-01-07,P002,Oil Filter,Doyle Ltd,fast,4,245,19,0,0,226,12.5,237.5
2024-01-07,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,341,11,56,0,386,18,198
2024-01-07,P004,Spark Plug Set,Davis and Sons,fast,5,203,16,0,0,187,22,352
2024-01-07,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,282,14,0,1,267,15,210
2024-01-07,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,42,7,0,0,35,20,140
2024-01-07,P007,Fuel Filter,Blake and Sons,medium,5,33,10,0,0,23,14,140
2024-01-07,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,51,9,0,0,42,85,765
2024-01-07,P009,Alternator Belt,Garcia-James,medium,6,33,5,0,0,28,18,90
2024-01-07,P010,Headlight Bulb,Abbott-Munoz,medium,5,138,4,0,0,134,12,48
2024-01-07,P011,Radiator Cap,Blair PLC,slow,7,34,1,0,0,33,8,8
2024-01-07,P012,Thermostat,Dudley Group,slow,6,17,4,0,0,13,22,88
2024-01-07,P013,PCV Valve,Arnold Ltd,slow,7,9,1,0,0,8,9,9
2024-01-07,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,13,1,0,1,11,65,65
2024-01-07,P015,EGR Valve,Williams and Sons,slow,8,20,2,0,0,18,95,190
2024-01-08,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,189,9,0,0,180,45,405
2024-01-08,P002,Oil Filter,Doyle Ltd,fast,4,226,10,0,0,216,12.5,125
2024-01-08,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,386,14,56,0,428,18,252
2024-01-08,P004,Spark Plug Set,Davis and Sons,fast,5,187,20,0,0,167,22,440
2024-01-08,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,267,20,0,0,247,15,300
2024-01-08,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,35,5,0,0,30,20,100
2024-01-08,P007,Fuel Filter,Blake and Sons,medium,5,23,7,10,0,26,14,98
2024-01-08,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,42,8,0,0,34,85,680
2024-01-08,P009,Alternator Belt,Garcia-James,medium,6,28,6,0,1,21,18,108
2024-01-08,P010,Headlight Bulb,Abbott-Munoz,medium,5,134,7,0,0,127,12,84
2024-01-08,P011,Radiator Cap,Blair PLC,slow,7,33,3,0,0,30,8,24
2024-01-08,P012,Thermostat,Dudley Group,slow,6,13,2,0,0,11,22,44
2024-01-08,P013,PCV Valve,Arnold Ltd,slow,7,8,3,0,0,5,9,27
2024-01-08,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,11,3,0,0,8,65,195
2024-01-08,P015,EGR Valve,Williams and Sons,slow,8,18,1,0,0,17,95,95
2024-01-09,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,180,17,0,0,163,45,765
2024-01-09,P002,Oil Filter,Doyle Ltd,fast,4,216,18,0,0,198,12.5,225
2024-01-09,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,428,9,0,1,418,18,162
2024-01-09,P004,Spark Plug Set,Davis and Sons,fast,5,167,16,0,0,151,22,352
2024-01-09,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,247,14,0,0,233,15,210
2024-01-09,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,30,7,0,0,23,20,140
2024-01-09,P007,Fuel Filter,Blake and Sons,medium,5,26,10,0,1,15,14,140
2024-01-09,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,34,4,0,0,30,85,340
2024-01-09,P009,Alternator Belt,Garcia-James,medium,6,21,9,0,0,12,18,162
2024-01-09,P010,Headlight Bulb,Abbott-Munoz,medium,5,127,4,0,1,122,12,48
2024-01-09,P011,Radiator Cap,Blair PLC,slow,7,30,2,0,0,28,8,16
2024-01-09,P012,Thermostat,Dudley Group,slow,6,11,4,15,0,22,22,88
2024-01-09,P013,PCV Valve,Arnold Ltd,slow,7,5,3,5,0,7,9,27
2024-01-09,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,8,2,0,0,6,65,130
2024-01-09,P015,EGR Valve,Williams and Sons,slow,8,17,1,0,0,16,95,95
2024-01-10,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,163,11,0,0,152,45,495
2024-01-10,P002,Oil Filter,Doyle Ltd,fast,4,198,17,56,0,237,12.5,212.5
2024-01-10,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,418,16,56,0,458,18,288
2024-01-10,P004,Spark Plug Set,Davis and Sons,fast,5,151,10,0,1,140,22,220
2024-01-10,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,233,13,0,0,220,15,195
2024-01-10,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,23,4,0,1,18,20,80
2024-01-10,P007,Fuel Filter,Blake and Sons,medium,5,15,10,0,0,5,14,140
2024-01-10,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,30,6,0,0,24,85,510
2024-01-10,P009,Alternator Belt,Garcia-James,medium,6,12,8,0,0,4,18,144
2024-01-10,P010,Headlight Bulb,Abbott-Munoz,medium,5,122,4,0,0,118,12,48
2024-01-10,P011,Radiator Cap,Blair PLC,slow,7,28,3,17,0,42,8,24
2024-01-10,P012,Thermostat,Dudley Group,slow,6,22,4,15,0,33,22,88
2024-01-10,P013,PCV Valve,Arnold Ltd,slow,7,7,4,0,0,3,9,36
2024-01-10,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,6,4,0,0,2,65,260
2024-01-10,P015,EGR Valve,Williams and Sons,slow,8,16,3,6,0,19,95,285
2024-01-11,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,152,11,0,1,140,45,495
2024-01-11,P002,Oil Filter,Doyle Ltd,fast,4,237,10,0,0,227,12.5,125
2024-01-11,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,458,16,0,1,441,18,288
2024-01-11,P004,Spark Plug Set,Davis and Sons,fast,5,140,19,0,0,121,22,418
2024-01-11,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,220,12,42,1,249,15,180
2024-01-11,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,18,4,0,0,14,20,80
2024-01-11,P007,Fuel Filter,Blake and Sons,medium,5,5,5,0,0,0,14,70
2024-01-11,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,24,6,0,1,17,85,510
2024-01-11,P009,Alternator Belt,Garcia-James,medium,6,4,4,0,0,0,18,72
2024-01-11,P010,Headlight Bulb,Abbott-Munoz,medium,5,118,4,0,0,114,12,48
2024-01-11,P011,Radiator Cap,Blair PLC,slow,7,42,4,0,0,38,8,32
2024-01-11,P012,Thermostat,Dudley Group,slow,6,33,4,0,0,29,22,88
2024-01-11,P013,PCV Valve,Arnold Ltd,slow,7,3,1,0,0,2,9,9
2024-01-11,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,2,2,0,0,0,65,130
2024-01-11,P015,EGR Valve,Williams and Sons,slow,8,19,2,0,0,17,95,190
2024-01-12,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,140,11,0,0,129,45,495
2024-01-12,P002,Oil Filter,Doyle Ltd,fast,4,227,16,0,0,211,12.5,200
2024-01-12,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,441,20,0,0,421,18,360
2024-01-12,P004,Spark Plug Set,Davis and Sons,fast,5,121,17,70,0,174,22,374
2024-01-12,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,249,12,42,0,279,15,180
2024-01-12,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,14,10,0,0,4,20,200
2024-01-12,P007,Fuel Filter,Blake and Sons,medium,5,0,0,0,0,0,14,0
2024-01-12,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,17,7,0,0,10,85,595
2024-01-12,P009,Alternator Belt,Garcia-James,medium,6,0,0,0,0,0,18,0
2024-01-12,P010,Headlight Bulb,Abbott-Munoz,medium,5,114,5,35,0,144,12,60
2024-01-12,P011,Radiator Cap,Blair PLC,slow,7,38,4,0,0,34,8,32
2024-01-12,P012,Thermostat,Dudley Group,slow,6,29,2,0,0,27,22,44
2024-01-12,P013,PCV Valve,Arnold Ltd,slow,7,2,2,0,0,0,9,18
2024-01-12,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,0,0,0,0,0,65,0
2024-01-12,P015,EGR Valve,Williams and Sons,slow,8,17,1,0,0,16,95,95
2024-01-13,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,129,15,0,0,114,45,675
2024-01-13,P002,Oil Filter,Doyle Ltd,fast,4,211,15,56,1,251,12.5,187.5
2024-01-13,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,421,15,0,1,405,18,270
2024-01-13,P004,Spark Plug Set,Davis and Sons,fast,5,174,18,0,0,156,22,396
2024-01-13,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,279,13,0,0,266,15,195
2024-01-13,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,4,4,0,0,0,20,80
2024-01-13,P007,Fuel Filter,Blake and Sons,medium,5,0,0,0,0,0,14,0
2024-01-13,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,10,9,0,0,1,85,765
2024-01-13,P009,Alternator Belt,Garcia-James,medium,6,0,0,0,0,0,18,0
2024-01-13,P010,Headlight Bulb,Abbott-Munoz,medium,5,144,6,35,0,173,12,72
2024-01-13,P011,Radiator Cap,Blair PLC,slow,7,34,2,0,0,32,8,16
2024-01-13,P012,Thermostat,Dudley Group,slow,6,27,3,0,1,23,22,66
2024-01-13,P013,PCV Valve,Arnold Ltd,slow,7,0,0,0,0,0,9,0
2024-01-13,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,0,0,0,0,0,65,0
2024-01-13,P015,EGR Valve,Williams and Sons,slow,8,16,1,0,0,15,95,95
2024-01-14,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,114,13,0,0,101,45,585
2024-01-14,P002,Oil Filter,Doyle Ltd,fast,4,251,20,0,0,231,12.5,250
2024-01-14,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,405,8,56,0,453,18,144
2024-01-14,P004,Spark Plug Set,Davis and Sons,fast,5,156,15,0,1,140,22,330
2024-01-14,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,266,17,0,0,249,15,255
2024-01-14,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,0,0,0,0,0,20,0
2024-01-14,P007,Fuel Filter,Blake and Sons,medium,5,0,0,0,0,0,14,0
2024-01-14,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,1,1,0,0,0,85,85
2024-01-14,P009,Alternator Belt,Garcia-James,medium,6,0,0,0,0,0,18,0
2024-01-14,P010,Headlight Bulb,Abbott-Munoz,medium,5,173,8,0,0,165,12,96
2024-01-14,P011,Radiator Cap,Blair PLC,slow,7,32,3,0,0,29,8,24
2024-01-14,P012,Thermostat,Dudley Group,slow,6,23,4,15,1,33,22,88
2024-01-14,P013,PCV Valve,Arnold Ltd,slow,7,0,0,0,0,0,9,0
2024-01-14,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,0,0,0,0,0,65,0
2024-01-14,P015,EGR Valve,Williams and Sons,slow,8,15,1,0,1,13,95,95
2024-01-15,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,101,19,0,0,82,45,855
2024-01-15,P002,Oil Filter,Doyle Ltd,fast,4,231,17,0,0,214,12.5,212.5
2024-01-15,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,453,14,0,0,439,18,252
2024-01-15,P004,Spark Plug Set,Davis and Sons,fast,5,140,8,70,0,202,22,176
2024-01-15,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,249,17,42,0,274,15,255
2024-01-15,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,0,0,0,0,0,20,0
2024-01-15,P007,Fuel Filter,Blake and Sons,medium,5,0,0,0,0,0,14,0
2024-01-15,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,0,0,0,0,0,85,0
2024-01-15,P009,Alternator Belt,Garcia-James,medium,6,0,0,0,0,0,18,0
2024-01-15,P010,Headlight Bulb,Abbott-Munoz,medium,5,165,10,0,0,155,12,120
2024-01-15,P011,Radiator Cap,Blair PLC,slow,7,29,1,0,0,28,8,8
2024-01-15,P012,Thermostat,Dudley Group,slow,6,33,1,0,0,32,22,22
2024-01-15,P013,PCV Valve,Arnold Ltd,slow,7,0,0,0,0,0,9,0
2024-01-15,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,0,0,0,0,0,65,0
2024-01-15,P015,EGR Valve,Williams and Sons,slow,8,13,3,0,0,10,95,285
2024-01-16,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,82,17,0,0,65,45,765
2024-01-16,P002,Oil Filter,Doyle Ltd,fast,4,214,15,0,1,198,12.5,187.5
2024-01-16,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,439,15,0,0,424,18,270
2024-01-16,P004,Spark Plug Set,Davis and Sons,fast,5,202,12,70,0,260,22,264
2024-01-16,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,274,14,42,1,301,15,210
2024-01-16,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,0,0,0,0,0,20,0
2024-01-16,P007,Fuel Filter,Blake and Sons,medium,5,0,0,0,0,0,14,0
2024-01-16,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,0,0,0,0,0,85,0
2024-01-16,P009,Alternator Belt,Garcia-James,medium,6,0,0,12,0,12,18,0
2024-01-16,P010,Headlight Bulb,Abbott-Munoz,medium,5,155,7,0,0,148,12,84
2024-01-16,P011,Radiator Cap,Blair PLC,slow,7,28,3,17,0,42,8,24
2024-01-16,P012,Thermostat,Dudley Group,slow,6,32,2,15,0,45,22,44
2024-01-16,P013,PCV Valve,Arnold Ltd,slow,7,0,0,0,0,0,9,0
2024-01-16,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,0,0,0,0,0,65,0
2024-01-16,P015,EGR Valve,Williams and Sons,slow,8,10,1,6,0,15,95,95
2024-01-17,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,65,11,70,0,124,45,495
2024-01-17,P002,Oil Filter,Doyle Ltd,fast,4,198,16,0,0,182,12.5,200
2024-01-17,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,424,19,0,0,405,18,342
2024-01-17,P004,Spark Plug Set,Davis and Sons,fast,5,260,10,0,0,250,22,220
2024-01-17,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,301,16,0,1,284,15,240
2024-01-17,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,0,0,0,0,0,20,0
2024-01-17,P007,Fuel Filter,Blake and Sons,medium,5,0,0,0,0,0,14,0
2024-01-17,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,0,0,0,0,0,85,0
2024-01-17,P009,Alternator Belt,Garcia-James,medium,6,12,5,0,0,7,18,90
2024-01-17,P010,Headlight Bulb,Abbott-Munoz,medium,5,148,10,0,0,138,12,120
2024-01-17,P011,Radiator Cap,Blair PLC,slow,7,42,1,0,0,41,8,8
2024-01-17,P012,Thermostat,Dudley Group,slow,6,45,3,0,0,42,22,66
2024-01-17,P013,PCV Valve,Arnold Ltd,slow,7,0,0,0,0,0,9,0
2024-01-17,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,0,0,0,0,0,65,0
2024-01-17,P015,EGR Valve,Williams and Sons,slow,8,15,4,0,0,11,95,380
2024-01-18,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,124,18,0,0,106,45,810
2024-01-18,P002,Oil Filter,Doyle Ltd,fast,4,182,15,0,0,167,12.5,187.5
2024-01-18,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,405,19,0,0,386,18,342
2024-01-18,P004,Spark Plug Set,Davis and Sons,fast,5,250,19,0,0,231,22,418
2024-01-18,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,284,19,0,0,265,15,285
2024-01-18,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,0,0,0,0,0,20,0
2024-01-18,P007,Fuel Filter,Blake and Sons,medium,5,0,0,0,0,0,14,0
2024-01-18,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,0,0,0,0,0,85,0
2024-01-18,P009,Alternator Belt,Garcia-James,medium,6,7,5,0,0,2,18,90
2024-01-18,P010,Headlight Bulb,Abbott-Munoz,medium,5,138,8,0,0,130,12,96
2024-01-18,P011,Radiator Cap,Blair PLC,slow,7,41,4,17,0,54,8,32
2024-01-18,P012,Thermostat,Dudley Group,slow,6,42,1,0,1,40,22,22
2024-01-18,P013,PCV Valve,Arnold Ltd,slow,7,0,0,0,0,0,9,0
2024-01-18,P014,Oxygen Sensor,"Mcclure, Ward and Lee",slow,8,0,0,0,0,0,65,0
2024-01-18,P015,EGR Valve,Williams and Sons,slow,8,11,1,0,0,10,95,95
2024-01-19,P001,Brake Pad Set,"Rodriguez, Figueroa and Sanchez",fast,5,106,13,0,0,93,45,585
2024-01-19,P002,Oil Filter,Doyle Ltd,fast,4,167,16,0,0,151,12.5,200
2024-01-19,P003,Air Filter,"Mcclain, Miller and Henderson",fast,4,386,11,0,0,375,18,198
2024-01-19,P004,Spark Plug Set,Davis and Sons,fast,5,231,16,70,0,285,22,352
2024-01-19,P005,Wiper Blade Pair,"Guzman, Hoffman and Baldwin",fast,3,265,9,0,1,255,15,135
2024-01-19,P006,Cabin Air Filter,"Gardner, Robinson and Lawrence",medium,6,0,0,0,0,0,20,0
2024-01-19,P007,Fuel Filter,Blake and Sons,medium,5,0,0,0,0,0,14,0
2024-01-19,P008,Timing Belt Kit,"Henderson, Ramirez and Lewis",medium,7,0,0,0,0,0,85,0
2024-01-19,P009,Alternator Belt,Garcia-James,medium,6,2,2,0,0,0,18,36
2024-01-19,P010,Headlight Bulb,Abbott-Munoz,medium,5,130,9,35,0,156,12,108
2024-01-19,P011,Radiator Cap,Blair PLC,slow,7,54,4,0,0,50,8,32
